"NPI","Entity Type Code","Provider Organization Name (Legal Business Name)","Provider Last Name (Legal Name)","Provider First Name","Provider Business Practice Location Address City Name","Provider Business Practice Location Address State Name","Provider Business Practice Location Address Postal Code","Healthcare Provider Taxonomy Code_1","Healthcare Provider Primary Taxonomy Switch_1","Healthcare Provider Taxonomy Code_2","Healthcare Provider Primary Taxonomy Switch_2"
"1000000001","2","PIEDMONT ATLANTA HOSPITAL","","","ATLANTA","GA","303091307","282N00000X","Y","",""
"1000000002","2","CHILDRENS HEALTHCARE OF ATLANTA","","","ATLANTA","GA","30322","282NC2000X","Y","",""
"1000000003","2","GEORGIA PRIMARY CARE CLINIC LLC","","","SAVANNAH","GA","31404","261QP2300X","Y","",""
"1000000004","1","","SMITH","JOHN","MACON","GA","31201","207Q00000X","Y","",""
"1000000005","2","GA SKILLED NURSING CENTER","","","AUGUSTA","GA","30901","314000000X","Y","",""
"1000000006","1","","DOE","JANE","ATHENS","GA","30601","207Q00000X","N","282N00000X","Y"
"1000000007","2","GEORGIA MEDICAL GROUP HOLDINGS","","","COLUMBUS","GA","31901","","","",""
"1000000008","2","TEXAS GENERAL HOSPITAL","","","HOUSTON","TX","77001","282N00000X","Y","",""
"1000000009","2","FLORIDA PRIMARY CARE CLINIC","","","MIAMI","FL","33101","261QP2300X","Y","",""
"1000000010","2","PEACHTREE CLINICAL LABS","","","MARIETTA","GA","30060","291U00000X","Y","",""
"1000000011","1","","GARCIA","MARIA","DECATUR","ga","30030","207P00000X","Y","",""
"1000000012","2","ATLANTA AMBULATORY SURGERY LLC","","","ATLANTA","GA","30342","261QA1903X","Y","",""
"1000000013","2","EMORY UNIVERSITY HOSPITAL MIDTOWN","","","ATLANTA","GA","30308","282N00000X","Y","",""
"1000000014","1","","NGUYEN","LINH","ALPHARETTA","GA","30004","1223G0001X","Y","",""
